DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02010023	{organism_base} processed carcass	{organism_base} processed carcass (raw)	'{organism_base} processed carcass' and 'has quality' some 'raw'			A raw processed {organism_base} carcass.					ALL	cow|goat|buffalo|sheep|lamb	pig																				whelk	green sea turtle							
	FOODON:02010024	{organism_base} processed carcass (raw)	{organism_base} carcass (raw, skinless)	'{organism_base} processed carcass (raw)' and not ('has part' some ('derives from' some 'skin of body')) 			A raw {organism_base} carcass which has had its skin removed.	For a carcass with skin, use "{organism_base} carcass"				ALL	cow|goat|buffalo|sheep|lamb	pig																												
	FOODON:02010025	{organism_base} processed carcass	{organism_base} carcass (butchered)				A{n} {organism_base} carcass which is eviscerated and cleaned.					ALL	cow|goat|buffalo|sheep|lamb	pig																												
	FOODON:02010321	{organism_base} carcass (butchered)	{organism_base} carcass (butchered, raw)				A butchered {organism_base} carcass that is raw.							pig																												
	FOODON:02010026	{organism_base} processed carcass	{organism_base} carcass (gutted)				A{n} {organism_base} carcass which is gutted.					ALL	cow|goat|buffalo|sheep|lamb	pig																												
	FOODON:02010322	{organism_base} carcass (gutted)	{organism_base} carcass (gutted, raw)				A gutted {organism_base} carcass that is raw.																																			
	FOODON:02020003	{organism_base} processed carcass	{organism_base} carcass (with giblets)				A{n} {organism_base} carcass that includes giblets.					chicken|turkey																														
	FOODON:02020004	{organism_base} processed carcass	{organism_base} carcass (with giblets, raw)	'{organism_base} carcass (with giblets)' and 'has quality' some 'raw'			A raw {organism_base} carcass that includes giblets.					chicken|turkey																														
	FOODON:02020005	{organism_base} processed carcass	{organism_base} carcass (with giblets and neck)				A{n} {organism_base} carcass that includes giblets and neck.					chicken|turkey																														
	FOODON:02020006	{organism_base} processed carcass	{organism_base} carcass (with giblets and neck, raw)	'{organism_base} carcass (with giblets and neck)' and 'has quality' some 'raw'			A raw {organism_base} carcass that includes giblets and neck.					chicken|turkey																														
	FOODON:02010028	piece of {organism_base}	piece of {organism} (with skin)	'piece of {organism_base}' and 'has part' some ('derives from' some 'skin of body')			A piece of {organism} that contains skin.					chicken|turkey	goat|buffalo|sheep|lamb																													
	FOODON:02010029	piece of {organism_base}	piece of {organism} (skinless)	'piece of {organism_base}' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {organism} that is skinless.					chicken|turkey	goat|buffalo|sheep|lamb																													
